k;Estimation of  similar items;Computation time
5;23;18.628135681152344
6;14;24.46584415435791
7;13;34.31585192680359
8;15;42.58585715293884
9;13;53.25970959663391
10;12;62.215617179870605
11;13;69.2890694141388
12;13;79.2672610282898
13;13;84.36936902999878
14;12;86.05208826065063
